CODIGO,EMPRESA,TICKER,CNPJ,DATA ACIONISTAS,FISICOS,JURIDICOS,INSTITUCIONAIS,URL B3
7811,JOAO FORTES,JFEN3,33.035.536/0001-00,28/04/2017,1348,30,2,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=7811
13285,JOSAPAR,JOPA3,87.456.562/0001-22,31/07/2020,95,12,5,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=13285
22020,JSL,JSLG3,52.548.435/0001-79,05/08/2020,0,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=22020
4146,KARSTEN,CTKA3,82.640.558/0001-04,30/06/2020,1163,202,43,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=4146
7870,KEPLER WEBER,KEPL3,91.983.056/0001-69,09/10/2020,4903,56,136,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=7870
12653,KLABIN S/A,KLBN11,89.637.490/0001-45,31/07/2020,151816,1525,35,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=12653
12262,LA FONTE TEL,LFFE3,53.790.218/0001-53,27/04/2017,659,18,2,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=12262
80098,LAEP,?,08.904.552/0001-36,20/09/2011,12732,174,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=80098
80128,LATAM AIRLN,?,33.937.681/0001-78,30/04/2016,1190,343,161,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=80128
25062,LAVVI,LAVV3,26.462.693/0001-28,31/08/2020,28148713,93452280,93027659,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=25062
21440,LE LIS BLANC,?,49.669.856/0001-43,13/04/2020,5017,126,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=21440
23434,LIBRA T RIO,?,02.373.517/0001-51,12/12/2019,0,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=23434
24872,LIFEMED,LMED3,02.357.251/0001-53,17/04/2020,0,5,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=24872
16691,LIGAFUTEBOL,?,02.217.325/0001-56,30/04/2010,0,2,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=16691
8036,LIGHT,?,60.444.437/0001-46,28/04/2020,0,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=8036
19879,LIGHT S/A,LIGT3,03.378.521/0001-75,19/01/2021,26009,10263,971,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=19879
23035,LINX,LINX3,06.948.969/0001-75,31/03/2020,11835,0,319,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=23035
15091,LITEL,LTEL3B,00.743.065/0001-27,09/09/2019,0,3,3,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=15091
24759,LITELA,LTLA3B,05.495.546/0001-84,09/09/2019,0,3,3,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=24759
4774,LIX DA CUNHA,?,46.014.635/0001-49,29/04/2016,365,23,9,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=4774
19739,LOCALIZA,RENT3,16.670.085/0001-55,12/11/2020,35748,1253,924,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=19739
22691,LOCAMERICA,LCAM3,10.215.988/0001-60,24/06/2020,32189,952,509,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=22691
24910,LOCAWEB,LWSA3,02.351.877/0001-52,10/02/2021,37178,600,604,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=24910
23272,LOG COM PROP,LOGG3,09.041.168/0001-10,16/04/2020,22051,272,223,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=23272
20710,LOG-IN,LOGN3,42.278.291/0001-24,04/09/2020,19558,421,151,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20710
8087,LOJAS AMERIC,LAME3,33.014.556/0001-96,30/04/2020,29464,1045,677,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=8087
8117,LOJAS HERING,?,82.640.632/0001-84,26/04/2018,118,11,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=8117
22055,LOJAS MARISA,AMAR3,61.189.288/0001-89,30/06/2020,33874,96,239,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=22055
8133,LOJAS RENNER,LREN3,92.754.738/0001-62,29/04/2020,81453,684,2030,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=8133
17434,LONGDIS,?,02.338.534/0001-58,03/05/2012,6,3,2,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=17434
20370,LOPES BRASIL,LPSB3,08.078.847/0001-09,19/08/2020,28379,226,57,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20370
20060,LUPATECH,LUPA3,89.463.822/0001-12,05/01/2021,7858,70,26,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20060
20338,M.DIASBRANCO,MDIA3,07.206.816/0001-15,06/05/2020,62395,150,519,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20338
23612,MAESTROLOC,MSRO3,08.795.211/0001-70,29/04/2015,3,1,3,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=23612
22470,MAGAZ LUIZA,MGLU3,47.960.950/0001-21,07/10/2020,388643,1671,913,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=22470
20842,MAGNESITA SA,?,08.684.547/0001-65,06/08/2018,3924,681,175,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20842
8397,MANGELS INDL,MGEL3,61.065.298/0001-02,16/07/2020,1071,14,11,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=8397
8451,MARCOPOLO,POMO3,88.611.835/0001-29,31/03/2020,85079,521,190,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=8451
20788,MARFRIG,MRFG3,03.853.896/0001-40,17/12/2019,26550,108,412,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20788
3654,MELHOR SP,MSPA3,60.730.348/0001-66,22/06/2020,261,19,3,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=3654
25232,MELIUZ,CASH3,14.110.585/0001-07,05/10/2020,3,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=25232
25119,MELNICK,MELK3,12.181.987/0001-77,31/08/2020,0,2,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=25119
4782,MENDES JR,?,17.162.082/0001-73,30/04/2019,3531,41,21,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=4782
18538,MENEZES CORT,MNZC3B,02.664.042/0001-52,16/04/2013,0,2,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=18538
1325,MERC BRASIL,BMEB3,17.184.037/0001-10,31/01/2020,7078,725,22,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=1325
