CNPJ,EMPRESA,CODIGO
04.870.226/0001-02,AGROPEC STA RITA DO MARAJO SA,512524
04.870.226/0001-02,AGROPEC STA RITA DO MARAJO SA,520101
12.771.408/0001-46,AGROPEC STA ROSA SA,511382
09.030.081/0001-47,AGROPEC STA TEREZA SA,509396
00.817.627/0001-30,AGROPEC STO ANTONIO DAS LENDAS SA,519219
11.567.708/0001-45,AGROPEC TAMARINDO SA,500631
08.674.160/0001-28,AGROPEC TAMBORIL VITORIA SA,501999
03.481.074/0001-85,AGROPEC TAPIRAPE SA,507245
10.647.972/0001-26,AGROPEC TAQUARY SA,504041
03.288.537/0001-97,AGROPEC TERRA FERTIL SA,505005
00.242.784/0001-64,AGROPEC TERRA GOYANA SA,512044
00.971.838/0001-22,AGROPEC TERRA KIKUIO SA,512036
15.741.192/0001-64,AGROPEC TERRA NOVA SA,508950
06.948.913/0001-10,AGROPEC THOME AFONSO SA,503401
04.334.488/0001-44,AGROPEC TUCUMAN SA,520519
14.114.425/0001-36,AGROPEC VALE DO RIO URINDEUA,515345
09.229.295/0001-47,AGROPEC VALE DIAMANTE SA,505668
09.229.295/0001-47,AGROPEC VALE DIAMANTE SA,520470
83.307.694/0001-31,AGROPEC VALE DO ARAGUAIA S/A,518387
19.564.517/0001-31,AGROPEC VALE DO COCHA SA,502421
10.169.985/0001-37,AGROPEC VALE DO GURGUEIA SA,506656
10.690.410/0001-65,AGROPEC VALE DO IPOJUCA SA,514950
06.724.876/0001-67,AGROPEC VALE DO PRATA SA,504033
12.091.500/0001-65,AGROPEC VALE DO RIO CORDA SA,503002
16.753.832/0001-19,AGROPEC VALE DO SOL SA,504360
12.819.736/0001-75,AGROPEC VARZEA NOVA SA,508551
22.679.567/0001-79,AGROPEC VARZELANDIA SA - AGROPEVA,517895
12.536.454/0001-60,AGROPEC WALCON SA,511080
02.282.297/0001-50,AGROPECUÁRIA ARAÇATUBA S/A,518824
02.856.863/0001-90,AGROPECUÁRIA BRASIL PALMEIRAS S.A.,519073
00.148.825/0001-58,AGROPECUÁRIA DOIS IRMÃOS S/A,511412
13.025.135/0001-53,AGROPECUÁRIA EMILIO OMENA S/A - AGROMENA,507652
02.893.891/0001-88,AGROPECUÁRIA FIO DE OURO S.A.,519154
04.595.112/0001-93,AGROPECUÁRIA FLOR DO OURO S/A,512672
01.235.081/0001-71,AGROPECUÁRIA FOGLIATELLI S.A.,519642
06.418.040/0001-34,AGROPECUÁRIA JOTA COELHO S/A,509205
19.964.360/0001-31,AGROPECUÁRIA ORIENTE S/A,502707
04.595.195/0001-10,AGROPECUÁRIA PARANAIBA S/A,507296
22.887.129/0001-04,AGROPECUARIA PAU RAINHA S/A,509000
02.671.917/0001-43,AGROPECUÁRIA PINGUIM S.A.,519251
